accession,summary,title,gpl,ftplink,,,,,Cancer Type,,GSE ID,Number_of_Genes_with_Data,Number Observations,Number Outputs,Imbalanced Ratio
GDS1732,"Expression profiling of 7 papillary thyroid carcinoma (PTC) samples. PTC is the most common type of thyroid cancer, representing up to 80% of all malignant thyroid tumors. Results provide insight into potential molecular markers for PTC.",Papillary thyroid cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1732/,,,,,Thyroid Cancer,, GDS1732,940,14,1,1
GDS1746,Analysis of epithelial cell cultures from prostate tumor explants. Results identify an epithelial-restricted transcription profile that can be integrated with tumor grade and clinical information with the aim of discriminating indolent and aggressive prostate tumors that are histologically similar. ,Primary epithelial cell cultures from prostate tumors,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1746/,,,,,[],, GDS1746,939,30,1,0.363636364
GDS1761,Analysis of 60 cell lines (the NCI60) derived from tumors from a variety of tissues and organs. Such cell lines are used extensively as experimental models of neoplastic disease. Results identify variation in gene expression patterns in the cell lines and their relationships to tumors in vivo.,NCI60 cancer cell lines,1290,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1761/,,,,,[],, GDS1761,413,64,1,0.333333333
GDS1887,Analysis of rectal cancer cells from patients prior to preoperative radiotherapy. Response to radiotherapy determined by histopathologic examination of resected specimens. Results identify gene markers for the characterization and prediction of the response to radiotherapy in rectal cancer.,Rectal cancer cells and radiotherapy response,8300,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS1nnn/GDS1887/,,,,,Rectal Cancer,, GDS1887,813,46,1,0.314285714
GDS2250,"Analysis of sporadic basal-like cancer (BLC), BRCA-associated breast cancer, and non-BLC tumors. Sporadic BLC are phenotypically similar to BRCA1-associated cancers. Results provide insight into the molecular pathogenesis of BLC and BRCA1-associated breast cancer.",Basal-like breast cancer tumors,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2250/,,,,,Breast Cancer,, GDS2250,940,47,1,0.1
GDS2297,Analysis of baseline non-small cell lung cancer (NSCLC) cell lines with a broad range of sensitivity to the anticancer drug gefitinib. Gefitinib is an epidermal growth factor receptor (EGFR) tyrosine kinase inhibitor (TKI). Results used to define a gene expression signature of gefitinib sensitivity.,Gefitinib effect on various non-small cell lung cancer cell lines (HG-U133A) ,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2297/,,,,,Lung Cancer ,, GDS2297,939,45,1,0.323529412
GDS2298,Analysis of baseline non-small cell lung cancer (NSCLC) cell lines with a broad range of sensitivity to the anticancer drug gefitinib. Gefitinib is an epidermal growth factor receptor (EGFR) tyrosine kinase inhibitor (TKI). Results used to define a gene expression signature of gefitinib sensitivity.,Gefitinib effect on various non-small cell lung cancer cell lines (HG-U133B)  ,97,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2298/,,,,,Lung Cancer ,, GDS2298,279,18,1,0.636363636
GDS232,Identification of genes causing medulloblastoma tumors to metastasize. Analyzed 23 primary medulloblastomas clinically designated as either metastatic or non-metastatic.,Medulloblastoma metastasis,74,,,,,, Medulloblastoma ,, GDS232,218,23,1,0.769230769
GDS2367,Analysis of estrogen receptor alpha (ERalpha)-positive MCF-7 breast cancer (BC) cells infected with adenovirus-ERbeta and treated with tamoxifen (Tam). Tam is a selective ER modulator used in BC prevention and treatment. Results provide insight into Tam activity in the presence of both ERs.,Tamoxifen effect on breast cancer cell line expressing estrogen receptor alpha and beta,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2367/,,,,,Breast Cancer,, GDS2367,939,17,1,0.833333333
GDS2384,Analysis of prostate cancer (PC) xenografts collected from male mice up to 14 days after castration. The androgen receptor (AR) plays a pivotal role in the growth and survival of prostate carcinoma.  Results provide insight into the role of selective adaptations of the AR pathway in PC progression.,Xenograft model of prostate carcinoma progression,3349,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2384/,,,,,Prostate Cancer,, GDS2384,517,52,1,0.1875
GDS2526,Analysis of breast and cervix carcinoma cell lines depleted for c-MYC by siRNA knockdown. Abnormal activation of c-MYC contributes to breast and cervix carcinogenesis. Results provide insight into the molecular basis of the developmental and oncogenic roles of MYC proteins. ,c-MYC depletion effect on carcinoma cell lines,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2526/,,,,,[],, GDS2526,940,18,1,1
GDS2545,Analysis of metastatic prostate tumors and primary prostate tumors.  Normal tissue adjacent to the tumor and normal donor tissue also examined. Metastasis reflects the most adverse clinical outcome. Results provide insight into the molecular mechanisms underlying the metastatic process.,Metastatic prostate cancer (HG-U95A),8300,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2545/,,,,,Prostate Cancer,, GDS2545,813,171,1,0.276923077
GDS2546,Analysis of metastatic prostate tumors and primary prostate tumors.  Normal tissue adjacent to the tumor and normal donor tissue also examined. Metastasis reflects the most adverse clinical outcome. Results provide insight into the molecular mechanisms underlying the metastatic process.,Metastatic prostate cancer (HG-U95B),92,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2546/,,,,,Prostate Cancer,, GDS2546,263,167,1,0.257575758
GDS2547,Analysis of metastatic prostate tumors and primary prostate tumors.  Normal tissue adjacent to the tumor and normal donor tissue also examined. Metastasis reflects the most adverse clinical outcome. Results provide insight into the molecular mechanisms underlying the metastatic process.,Metastatic prostate cancer (HG-U95C),93,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2547/,,,,,Prostate Cancer,, GDS2547,216,164,1,0.265625
GDS2609,Analysis of normal-appearing colonic mucosa of early onset colorectal cancer (CRC) patients without a prior family history of CRC. Results provide insight into the molecular pathogenesis of early onset CRC.,Early onset colorectal cancer: normal-appearing colonic mucosa,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2609/,,,,,Colorectal Cancer,, GDS2609,940,22,1,0.833333333
GDS2626,Analysis of MCF-7 breast cancer cells treated with various doses of epidermal growth factor (EGF) or heregulin (HRG) for up to 90 minutes. EGF and HRG induce distinct kinase kinetics and phenotypes of MCF-7 cells. Results provide insight into the linkage between signaling dynamics and cell fate.,Epidermal growth factor and heregulin effect on breast cancer cell line: dose response and time course,571,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2626/,,,,,Breast Cancer,, GDS2626,939,57,1,0.071428571
GDS2770,Analysis of estrogen receptor (ER) alpha positive MCF-7 breast cancer cells following introduction of ERbeta and treatment with estrogen. The majority of breast cancers express both ERalpha and ERbeta. Results provide insight into the comodulatory effects of these two ERs.,Estrogen effect on breast cancer cell line coexpressing estrogen receptors alpha and beta,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2770/,,,,,Breast Cancer,, GDS2770,939,12,1,1
GDS2771,"Analysis of large airway epithelial cells from cigarette smokers without cancer, with cancer, and with suspect lung cancer. Results provide insight into the feasibility of using gene expression to detect early stage lung cancer in smokers.",Large airway epithelial cells from cigarette smokers with suspect lung cancer,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2771/,,,,,Lung Cancer ,, GDS2771,939,192,1,0.051546392
GDS2785,Analysis of malignant ovarian cancer tumors from patients receiving neo-adjuvant chemotherapy. Ovarian adenomas and untreated ovarian carcinomas also examined.  Results used to define gene expression signatures associated with clinical responses to chemotherapy.,Ovarian cancer tumors after neo-adjuvant chemotherapy,8300,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2785/,,,,,Ovarian Cancer,, GDS2785,813,43,1,0.791666667
GDS2918,Analysis of blood plasma from patients with colorectal cancer. Results used to identify gene markers for colorectal cancer.,Colorectal cancer markers in plasma,3014,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2918/,,,,,Colorectal Cancer,, GDS2918,371,20,1,0.666666667
GDS2971,"Analysis of prostate cancer LNCaP cells treated with the chemotherapeutic agent docetaxel or the hemiasterlin analog HTI-286. Like docetaxel, HTI-286 disrupts microtubule dynamics. But unlike docetaxel, HT-286 exhibits reduced multidrug resistance.",Hemiasterlin analog HTI-286 effect on docetaxel-resistant prostate cancer cell line,3877,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS2nnn/GDS2971/,,,,,Prostate Cancer,, GDS2971,893,12,1,1
GDS3017,Analysis of cervical cancer biopsy samples from patients receiving radiotherapy alone or radiotherapy plus concomitant chemotherapy with cisplatin (CRT). Results provide insight into the molecular mechanisms underlying the therapeutic response to CRT.,Cervical cancer response to chemoradiotherapy,2895,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3017/,,,,,Cervical Cancer,, GDS3017,884,156,1,0.95
GDS3096,Analysis of stromata surrounding tumors from patients with inflammatory breast cancer (IBC) and invasive non-IBC. This is part of a study that also examines the expression profiles of tumors. Results provide insight into the contribution of the tumor stroma component to the pathogenesis of IBC.,Inflammatory breast cancer: stroma,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3096/,,,,,Breast Cancer,, GDS3096,939,47,1,0.382352941
GDS3097,Analysis of tumor epithelia from patients with inflammatory breast cancer (IBC) and invasive non-IBC. This is part of a study that also examines the expression profiles of stromata surrounding tumors. Results provide insight into the contribution of the tumor component to the pathogenesis of IBC.,Inflammatory breast cancer: tumor,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3097/,,,,,Breast Cancer,, GDS3097,939,48,1,0.371428571
GDS3116,Analysis of breast cancer tumors following treatment with letrozole for 14 days. The aromatase inhibitor letrozole is an anti-estrogen drug used to treat postmenopausal women with breast cancer. Results provide insight into the molecular mechanism of action of letrozole in breast cancer.,Letrozole effect on breast cancer tumors,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3116/,,,,,Breast Cancer,, GDS3116,939,116,1,1
GDS3139,Analysis of histologically normal breast epithelia of breast cancer patients. Results provide insight into the molecular abnormalities in normal appearing breast epithelium in breast cancer and the roles these abnormalities play in carcinogenesis.,Breast cancer: histologically normal breast epithelium,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3139/,,,,,Breast Cancer,, GDS3139,939,29,1,0.933333333
GDS3179,"Analysis of LM2 breast cancer cells depleted for metadherin (MTDH), a cell surface protein in breast tumors that mediates lung metastasis. LM2 cells were grown alone or on a monolayer of lung microvascular endothelial cells. Results provide insight into molecular mechanisms underlying MTDH action.",Lung metastatic breast cancer cell line response to metadherin depletion,4133,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3179/,,,,,Breast Cancer,, GDS3179,949,12,1,1
GDS3217,"Analysis of estrogen receptor (ER)-positive MCF7 breast cancer cells up to 48 hours following treatment with estradiol (E2). ERs facilitate the transcriptional effects of hormones. These results, together with ChIP-PET results, suggest potential correlations between ER binding and gene regulation.",Estradiol effect on breast cancer cell line expressing estrogen receptor: time course,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3217/,,,,,Breast Cancer,, GDS3217,940,18,1,1
GDS3233,Analysis of cervical cancer (CC) primary tumors and cell lines. Chromosomal amplification is a common cellular mechanism of gene activation in tumorigenesis; chromosome 20 is a commonly gained chromosome in CC. Results provide insight into the potential role of chromosome 20 gain in CC progression.,Cervical cancer tumorigenesis,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3233/,,,,,Cervical Cancer,, GDS3233,939,61,1,0.321428571
GDS3289,Analysis of LCM-captured epithelial cell populations representing prostate cancer progression from benign epithelium to metastatic disease. Stromal cell populations also examined. Results provide insight into molecular mechanisms underlying the different aspects of prostate cancer progression.,Prostate cancer progression at the cellular level,2013,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3289/,,,,,Prostate Cancer,, GDS3289,709,104,1,0.130434783
GDS3324,Analysis of epithelium and stroma cells in normal and invasive breast cancer tissues. Information on the role that stroma tissues have on the growth and progression of cancer is limited.Results provide insights into the molecular basis of cancer invasion and metastasis.,Stromal cells and invasive breast cancer development,571,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3324/,,,,,Breast Cancer,, GDS3324,939,66,1,0.178571429
GDS3388,"Analysis of random periareolar fine-needle aspirates collected from unafflicted, contralateral breast tissue of breast cancer patients and treated with bisphenol A (BPA). BPA is a prevalent xenoestrogen. Results provide insight into early molecular events induced by BPA in susceptible breast tissue.",Bisphenol A effect on nonmalignant breast epithelial cell aspirates from breast cancer patients ,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3388/,,,,,Breast Cancer,, GDS3388,940,24,1,1
GDS3482,Analysis of early and late passage HCT116 colon cancer cells depleted for X-linked inhibitor of apoptosis (XIAP). XIAP is overexpressed in the majority of NCI 60 cell lines compared to normal cells suggesting a potential role as a therapeutic target in a wide spectrum of malignancies. ,X-linked inhibitor of apoptosis XIAP depletion effect on a colorectal cancer cell line,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3482/,,,,,Colorectal Cancer,, GDS3482,940,18,1,0.25
GDS3501,"Analysis of synchronous and metachronous liver metastatic lesions from colorectal cancer (CC). The liver is a common site of metastases from CC. Synchronous metastatic lesions arise less than 6 months after the resection of the primary tumor, metachronous lesions arise 6 months after resection.",Synchronous and metachronous liver metastases from colorectal cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3501/,,,,,Colorectal Cancer,, GDS3501,940,18,1,0.8
GDS3592,Comparison of normal ovarian surface epithelia (OSE) and ovarian cancer epithelial cells (CEPIs). CEPIs were isolated by laser capture microdissection from serous papillary ovarian adenocarcinomas. Results provide insight into the role of OSE in the development of ovarian adenocarcinoma.,Ovarian normal surface epithelia and ovarian cancer epithelial cells,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3592/,,,,,Ovarian Cancer,, GDS3592,940,24,1,1
GDS360,Breast cancer core biopsies taken from patients found to be resistant (greater than 25% residual tumor volume) or sensitive (less than 25% residual tumor volume) to docetaxel treatment.,Breast cancer and docetaxel treatment,8300,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDSnnn/GDS360/,,,,,Breast Cancer,, GDS360,813,24,1,0.714285714
GDS3603,Expression profiling of peripheral blood mononuclear cells (PBMC) from patients with advanced renal cancer following treatment with the rapamycin analog CCI-779. Gene expression examined 8 and 16 weeks after treatment. Results identify potential gene markers of CCI-779 exposure.,Renal cancer response to rapamycin analog CCI-779 treatment: time course,8300,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3603/,,,,,renal cancer,, GDS3603,813,79,1,0.6
GDS3627,Comparison of two non-small cell lung cancer histological subtypes: adenocarcinomas (AC) and squamous cell carcinomas (SCC). Results provide insight into the molecular differences between AC and SCC.,Non-small lung cancer subtypes: adenocarcinoma and squamous cell carcinoma,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3627/,,,,,Lung Cancer ,, GDS3627,940,58,1,0.45
GDS3638,Analysis of MDB-MB-453 breast cancer cells treated with 20 or 40 ug/ml actein for 6 or 24 hours. Actein is a triterpene glycoside from the herb black cohosh and inhibits the growth of cancer cells in vitro. Results provide insight into the molecular basis of this inhibitory effect.,Actein effect on breast cancer cell line: dose response and time course,571,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3638/,,,,,Breast Cancer,, GDS3638,939,16,1,0.6
GDS3716,"Analysis of histological normal breast epithelia from both ER- and ER+ breast cancer patients and prophylactic mastectomy patients, and normal breast epithelia from reduction mammoplasty patients. Results provide insight into the mechanisms underlying breast cancer initiation and progression.",Breast cancer: histologically normal breast epithelium,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3716/,,,,,Breast Cancer,, GDS3716,939,42,1,0.333333333
GDS3721,Analysis of pretreatment breast cancer (BC) tumors from patients enrolled in a paclitaxel/radiation clinical trial. Patients achieved pathologic complete response (pCR) or  partial response (pPR). Results provide insight into molecular markers of pathologic response to paclitaxel/RT treatment of BC.,Pretreatment breast needle biopsies of locally advanced breast cancer,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3721/,,,,,Breast Cancer,, GDS3721,940,28,1,0.4
GDS3756,"Analysis of normal and tumor tissue specimens from Norwegian patients with resectable adenocarcinoma of the rectum, before and after preoperative radio-chemotherapy (RCT). Results provide insight into the molecular mechanisms underlying tumor response to neoadjuvant RCT. ",Preoperative radio-chemotherapy effect on rectal cancer,2986,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3756/,,,,,Rectal Cancer,, GDS3756,921,42,1,0.909090909
GDS3792,Analysis of 36M2 epithelial ovarian cancer cells (EOC) treated with 100 uM carboplatin for up to 36 hours. Gene expression profile compared to those from ovarian cells of patients with unfavorable and favorable outcomes. Results provide insight into the mechanism of drug resistance in EOC.,Carboplatin effect on epithelial ovarian cancer cell line: time course,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3792/,,,,,Ovarian Cancer,, GDS3792,940,12,1,1
GDS3836,Analysis of epithelial neoplastic cells at 3 stages of tumor development and normal cells from the main pancreatic duct.  Anti-tumor immunity changes over the course of tumor progression. Results provide insight into how and when effective immune surveillance is overcome during cancer progression.,Multistep pancreatic carcinogenesis: epithelial cells,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3836/,,,,,[],, GDS3836,940,22,1,0.428571429
GDS3837,Analysis of paired tumor and adjacent normal lung tissue specimens obtained from nonsmoking female non-small cell lung carcinoma (NSCLC) patients in Taiwan. Results provide insight into potential prognostic biomarkers and therapeutic targets for NSCLC.,Non-small cell lung carcinoma in female nonsmokers,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3837/,,,,,[],, GDS3837,940,120,1,1
GDS3861,"Analysis of LNCaP androgen-sensitive prostate adenocarcinoma cells, SRF (serum response factor)-silenced and treated with synthetic androgen R1881.  Effects of androgens on prostate cancer (PCa) cells can be mediated by SRF. Results provide insight into targets for androgen action in PCa cells.",Synthetic androgen R1881 effect on transcription factor SRF-deficient prostate cancer cells,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3861/,,,,,Prostate Cancer,, GDS3861,940,12,1,1
GDS3872,Analysis of ovarian xenograft tumors from nude mice inoculated with SKOV-3 cells then treated with anti-cancer agent MT19c. Xenograft tumors collected up to 30 days after initiation of MT19c treatment. Results provide insight into molecular mechanisms underlying ovarian xenograft tumor progression.,Xenograft ovarian tumor response to anti-cancer therapeutic MT19: time course,6244,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3872/,,,,,[],, GDS3872,928,15,1,0.875
GDS3945,"Analysis of HepG2 transformants expressing: wildtype thyroid hormone receptors (TRs), hepatocellular carcinoma (HCC)-TR mutants, or renal clear cell carcinoma (RCCC)-TR mutants, in the presence of hormone agonist T3 thyronine. Results provide insight into a unique regulatory repertoire for RCCCs.",Renal clear cell carcinoma-thyroid hormone receptor mutants: HepG3 cell line,6244,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3945/,,,,,'Hepatocellular carcinoma',, GDS3945,928,42,1,1
GDS3952,"Analysis of PBMCs from breast cancer patients, patients with benign breast abnormalities, healthy individuals, and patients with other types of cancer (GI, brain). These results, together with results from a murine breast cancer model, provide insight into developing a human breast tumor predictor.",Breast cancer patients: peripheral blood mononuclear cells,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3952/,,,,,Breast Cancer,, GDS3952,940,162,1,0.117647059
GDS3966,"Analysis of melanoma clinical samples representing 31 primary melanomas and 52 melanoma metastases. These results, together with results from tumor samples from highly-metastatic derivatives of an A375 (ATCC) melanoma cell line, provide insight into the molecular basis of metastasis.",Melanoma metastasis,96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS3nnn/GDS3966/,,,,,Melanoma,, GDS3966,939,83,1,0.596153846
GDS4051,"Analysis of tamoxifen-sensitive and -resistant subclones of breast tumor MCF7 cells treated with estrogen (E), 4-hydroxy-tamoxifen (4-OHT), or E + 4-OHT. Success of 4-OHT therapy is limited by intrinsic and acquired drug resistance. Results provide insight into mechanisms leading to drug resistance.",Tamoxifen-resistant breast cancer cell line MCF7 subclones,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS4nnn/GDS4051/,,,,,Breast Cancer,, GDS4051,940,24,1,1
GDS4053,Analysis of estrogen receptor α-positive (ERα+) breast tumors with phosphatidylinositol 3-kinase catalytic subunit (PIK3CA) mutation. PIK3CA mutations have been observed in 30% to 40% of ERα-positive breast tumors. Results provide insight into the role of PIK3CA mutations in breast tumorigenesis.,Postmenopausal estrogen receptor α-positive breast tumor with PIK3CA mutation,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS4nnn/GDS4053/,,,,,[],, GDS4053,940,43,1,0.482758621
GDS4056,Analysis of pre-treatment biopsies from 62 HER2-normal breast cancer patients (ER-positive and ER-negative subtypes) from US Oncology clinical trial 02103. Results provide insight into molecular mechanisms associated with chemotherapy sensitivity in breast cancer subtypes.,ER-positive/HER2-negative and ER-negative/HER2-negative breast cancer biopsies (USO-02103 cohort),96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS4nnn/GDS4056/,,,,,Breast Cancer,, GDS4056,939,61,1,0.025
GDS4057,Analysis of pre-treatment biopsies from 103 HER2-normal breast cancer patients (ER-positive and ER-negative subtypes) from MD Anderson Cancer Center/Institut Goustave Russy. Results provide insight into molecular mechanisms associated with chemotherapy sensitivity in breast cancer subtypes.,ER-positive/HER2-negative and ER-negative/HER2-negative breast cancer biopsies (MDACC/IGR cohort),96,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS4nnn/GDS4057/,,,,,Breast Cancer,, GDS4057,939,103,1,0.058823529
GDS4063,Analysis of MCF-7 breast cancer cells treated with estradiol (E2) or insulin-like growth factor I (IGF-I) for up to 24 hours. E2 and IGF-I signaling are important for normal mammary development and breast cancer. Results provide insight into the  cross-talk between these pathways.,Estrogen or insulin-like growth factor I stimulated MCF-7 breast cancer cells: time course,571,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS4nnn/GDS4063/,,,,,Breast Cancer,, GDS4063,939,17,1,0.888888889
GDS4066,Analysis of estrogen receptor (ER)+PEO4 or ER-2008 human epithelial ovarian cancer (EOC) cells laser captured from intraperitoneal xenografts of mice treated with estrogen (E2). Menopausal E2 replacement therapy increases risk of ER+ EOC. Results provide insight into E2 effects on tumor promotion.,Ovarian cancer intraperitoneal xenograft model,570,ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDS4nnn/GDS4066/,,,,,Ovarian Cancer,, GDS4066,940,15,1,0.875
