GSE ID,Number_of_Genes_with_Data,Number Observations,Number Outputs,Imbalanced Ratio
GSE35603,978,78,2,0.709677419
GSE35640,978,65,1,0.264705882
GSE35809,978,70,1,0.517241379
GSE35896,978,62,4,0.368421053
GSE35925,978,30,1,1
GSE36076,977,26,1,0.3
GSE36176,978,32,3,1
GSE3629,978,121,1,0.096774194
GSE36389,978,20,1,0.25
GSE36765,978,34,1,0.4
GSE36769,978,60,1,0.176470588
GSE3678,978,14,1,1
GSE37185,978,14,2,0.75
GSE37290,978,20,1,1
GSE3744,978,47,1,0.175
GSE37645,978,18,1,0.8
GSE37745,978,196,5,0.114285714
GSE37946,978,50,2,0.5625
GSE37964,978,44,1,0.130434783
GSE38129,978,60,1,1
GSE38666,978,45,2,0.388888889
GSE38832,978,122,1,0.461538462
GSE39204,978,64,1,0.939393939
GSE39354,978,24,2,1
GSE39452,978,12,2,1
GSE39582,978,585,3,0.281842818
GSE39923,978,101,1,0.035087719
GSE40367,978,61,1,0.071428571
GSE40595,978,77,1,0.1875
GSE40654,978,24,1,1
GSE40968,978,18,3,0.5
GSE41035,978,24,2,1
GSE4107,978,22,1,0.090909091
GSE4115,978,192,4,0.381355932
GSE41258,978,390,6,0.569230769
GSE4127,978,29,1,0.9
GSE41445,978,63,2,0.615384615
GSE41559,978,16,1,1
GSE41568,978,133,1,0.414893617
GSE41627,978,12,1,1
GSE4183,978,53,1,0.533333333
GSE41998,978,279,3,0.101449275
GSE42404,978,22,2,1
GSE42568,978,121,7,0.507462687
GSE42822,978,91,7,0.730769231
GSE43358,978,57,3,0.5
GSE43365,978,111,4,0.179104478
GSE43502,978,25,2,0.153846154
GSE43580,978,150,2,0.829268293
GSE44104,978,60,4,0.166666667
GSE44408,978,44,1,0.388888889
GSE44861,978,111,1,0.142857143
GSE4526,978,36,1,0.565217391
GSE4536,978,101,1,0.04
GSE4554,978,84,1,0.138888889
GSE45626,978,33,2,0.5
GSE45757,978,141,1,1
GSE45765,978,165,1,0.363636364
GSE46106,978,44,5,0.19047619
GSE46222,978,49,1,0.416666667
GSE46602,978,50,5,0.8
GSE46928,978,52,1,0.268292683
GSE48390,978,81,4,0.528301887
GSE48433,978,823,1,0.388888889
GSE48984,978,26,1,0.2
GSE49349,978,20,1,0.222222222
GSE49515,978,26,1,0.3
GSE49588,978,28,1,0.125
GSE50081,978,181,5,0.70754717
GSE50567,978,41,1,0.272727273
GSE50705,978,351,1,0.238636364
GSE50811,978,241,1,0.487654321
GSE50830,978,168,1,0.486725664
GSE50831,978,189,1,0.008
GSE50832,978,598,1,0.0025
GSE50948,978,156,5,0.857142857
GSE51021,978,28,2,0.555555556
GSE51242,978,20,1,1
GSE51373,978,28,1,0.75
GSE51450,978,12,1,1
GSE51524,978,18,2,1
GSE52171,978,20,2,0.428571429
GSE52327,978,16,1,1
GSE52712,978,20,2,1
GSE53012,978,27,1,1
GSE53059,978,12,2,1
GSE5327,978,58,1,1
GSE53668,978,77,1,1
GSE54002,978,433,1,0.038369305
GSE54129,978,132,1,0.189189189
GSE54323,978,29,3,0.428571429
GSE54388,978,22,1,0.375
GSE54495,978,30,1,0.764705882
GSE5460,978,129,3,0.984615385
GSE55945,978,21,1,0.75
GSE56026,978,75,1,0.045454545
GSE56352,978,24,2,1
GSE56465,978,38,1,0.7
GSE5787,978,33,1,0.4
GSE57968,978,72,1,1
GSE5816,978,42,1,0.052631579
GSE5847,978,95,5,0.376811594
GSE58792,978,51,3,0.961538462
GSE58812,978,107,2,0.407894737
GSE58984,978,94,2,0.566666667
GSE59196,978,24,3,0.5
GSE59732,978,96,1,1
GSE6044,586,47,1,0.382352941
GSE60542,978,92,2,0.088235294
GSE60697,978,20,1,0.538461538
GSE61304,978,62,3,0.043478261
GSE61548,586,20,1,1
GSE61942,978,12,2,1
GSE62080,978,21,1,0.75
GSE62932,978,68,1,0.2
GSE63252,978,27,2,1
GSE63471,978,142,4,0.5
GSE63514,978,128,1,0.35
GSE63678,978,35,1,0.714285714
GSE63885,978,101,5,0.634146341
GSE64256,978,125,1,0.262626263
GSE64857,978,81,1,0.840909091
GSE64951,978,94,1,0.492063492
GSE65194,978,178,1,0.018181818
GSE66161,978,74,1,0.85
GSE66162,978,150,1,0.435897436
GSE66229,978,400,1,0.333333333
GSE66270,978,28,1,1
GSE66271,978,26,2,0.923076923
GSE66272,978,54,3,0.962962963
GSE66305,978,88,2,0.676470588
GSE66667,978,36,2,0.565217391
GSE67916,978,18,2,0.636363636
GSE68468,978,390,1,0.005376344
GSE69223,978,30,1,1
GSE69330,978,18,3,0.5
GSE69428,970,29,1,0.2
GSE6956,978,89,1,0.407407407
GSE69657,978,30,1,0.764705882
GSE70915,978,12,1,1
GSE71222,978,152,1,0.206349206
GSE71258,978,128,6,0.694915254
GSE71363,978,18,2,1
GSE72968,978,68,6,0.837837838
GSE72969,978,56,4,0.866666667
GSE72970,978,124,3,0.968253968
GSE73168,978,24,1,1
GSE74391,978,26,1,0.3
GSE74530,978,12,1,1
GSE74572,978,21,2,0.75
GSE74608,978,12,1,1
GSE7515,978,26,1,0.733333333
GSE75316,978,59,3,0.526315789
GSE76124,978,198,2,0.223529412
GSE76274,978,67,2,0.2
GSE76275,978,265,1,0.338383838
GSE76675,978,24,2,0.5
GSE7670,978,66,1,0.035714286
GSE77803,978,156,1,0.147058824
GSE78753,978,18,1,1
GSE78916,978,48,1,1
GSE79460,978,16,2,0.777777778
GSE79461,978,20,1,1
GSE79462,978,36,1,0.3
GSE79973,978,20,1,1
GSE80077,978,60,5,1
GSE81612,978,56,1,1
GSE82171,978,20,1,0.1
GSE82172,978,152,1,0.033333333
GSE82208,978,52,3,0.925925926
GSE82298,978,26,1,0.444444444
GSE83120,978,12,2,1
GSE83122,978,18,3,0.5
GSE83530,978,55,1,0.896551724
GSE83937,978,131,1,0.050847458
GSE8401,978,83,1,0.596153846
GSE84713,978,28,2,0.3125
GSE85043,978,29,2,0.25
GSE85570,978,440,2,1
GSE8894,978,138,3,1
GSE8977,978,22,1,0.466666667
GSE89932,978,36,1,1
GSE90521,978,17,1,0.888888889
GSE9195,978,77,2,0.583333333
GSE92921,978,59,4,0.372093023
GSE9350,978,12,1,1
GSE95700,978,57,1,0.25
GSE9574,978,29,1,0.933333333
GSE9750,978,66,1,0.04
GSE97549,978,18,2,0.5
GSE98265,978,27,1,0.5
GSE99213,978,16,2,1
GSE9936,978,105,1,0.842105263
GSE994,978,75,1,0.015384615
GSE9971,978,27,1,0.6875
GSE99861,978,16,1,0.777777778
mean,952.4003623,71.58695652,1.612318841,0.61913931
stdv,91.43629599,90.98626595,1.273088925,0.33354853
Total,,39516,,
